Company,Category,What they do,Careers / Jobs URL,ATS Platform,ATS Token,Relevant Team(s),Notes,Jobs API / Feed URL (auto)
Sygaldry Technologies,Startups (YC),quantum-accelerated AI servers,,ashby,sygaldry-technologies,,YC Spring 2025,
Eloquent AI,Startups (YC),The AI Operator for Financial Services,,ashby,eloquentai,,YC Spring 2025,
Pingo AI,Startups (YC),AI companion that helps you learn languages,,ashby,pingo,,YC Summer 2025,
Autonomous Technologies Group,Startups (YC),Superintelligent financial advisor,,lever,autonomous,,YC Fall 2025,
Prox,Startups (YC),AI technical support for complex physical products,,ashby,prox,,YC Fall 2025,
Dedalus Labs,Startups (YC),Compute substrate for AI agents,,ashby,dedalus-labs,,YC Summer 2025,
MangoDesk,Startups (YC),Long-horizon RL environments,,ashby,mangodesk,,YC Summer 2025,
AgentMail,Startups (YC),Email Inboxes for AI Agents,,ashby,agentmail,,YC Summer 2025,
truthsystems,Startups (YC),Automatically blocking risky behavior with real-time governance agents,,ashby,truthsystems,,YC Summer 2025,
CareSwift,Startups (YC),AI scribe for Ambulance Reports,,ashby,careswift,,YC Summer 2025,
Interface,Startups (YC),Building onestop.sh,,ashby,interface,,YC Summer 2025,
Comena,Startups (YC),AI agents for distributors and manufacturers to automate order entry.,,ashby,comena,,YC Summer 2025,
Finto,Startups (YC),AI accounting for enterprise finance teams,,ashby,finto,,YC Summer 2025,
Reacher,Startups (YC),We automate creator marketing for the world's largest brands,,ashby,reacher,,YC Summer 2025,
Fleetline,Startups (YC),Optimizing fleet planning with data driven algorithms,,ashby,fleetline,,YC Summer 2025,
Uplift AI,Startups (YC),Foundational Voice Models for regional languages,,greenhouse,uplift,,YC Summer 2025,
Uplane,Startups (YC),Replace marketing agencies with AI,,ashby,uplane,,YC Fall 2025,
Hyperspell,Startups (YC),Your Company Brain,,ashby,hyperspell,,YC Fall 2025,
Hypercubic,Startups (YC),Agentic AI for Mainframe Operations and Modernization,,ashby,hypercubic,,YC Fall 2025,
SF Tensor,Startups (YC),Infrastructure for AI labs to focus on research.,,ashby,sf-tensor,,YC Fall 2025,
DiligenceSquared,Startups (YC),AI-powered market due diligence for investment decisions,,ashby,diligencesquared,,YC Fall 2025,
Moss,Startups (YC),Real-time semantic search for Conversational AI,,ashby,moss,,YC Fall 2025,
Clara,Startups (YC),AI primary care doctor,,greenhouse,clara,,YC Spring 2026,
Lance,Startups (YC),AI Agents That Run Hotel Operations.,,ashby,lance,,YC Winter 2026,
Stilta,Startups (YC),Agentic AI for intellectual property,,ashby,stilta,,YC Winter 2026,
Polymath,Startups (YC),Simulation environments to train & evaluate long-horizon AI agents,,ashby,polymath,,YC Winter 2026,
Superset,Startups (YC),The IDE for the AI Agents Era,,greenhouse,superset,,YC Spring 2026,
General Legal,Startups (YC),Elite AI law firm for high growth companies,,greenhouse,general,,YC Winter 2026,
